date,1. open,2. high,3. low,4. close,5. volume
2021-03-12,27.45,27.45,27.17,27.42,15795.0
2021-03-11,27.4,27.491,27.36,27.49,15111.0
2021-03-10,27.2,27.4,27.2,27.4,14873.0
2021-03-09,27.14,27.22,26.9369,27.2,16872.0
2021-03-08,27.05,27.1,26.96,27.1,15656.0
2021-03-05,26.93,27.08,26.8097,27.08,18909.0
2021-03-04,27.05,27.0786,26.8303,26.93,16053.0
2021-03-03,26.821,27.0,26.82,27.0,17466.0
2021-03-02,27.03,27.03,26.76,26.88,8384.0
2021-03-01,26.78,27.05,26.67,27.03,35036.0
2021-02-26,26.68,26.74,26.4363,26.67,27444.0
2021-02-25,26.65,26.65,26.2676,26.55,43653.0
2021-02-24,26.69,26.69,26.47,26.6415,32102.0
2021-02-23,26.67,26.68,26.56,26.68,13887.0
2021-02-22,26.77,26.77,26.5272,26.58,14796.0
2021-02-19,26.79,26.79,26.52,26.77,18111.0
2021-02-18,26.83,26.83,26.54,26.79,19071.0
2021-02-17,26.82,26.9,26.66,26.79,17637.0
2021-02-16,26.86,26.86,26.61,26.72,31614.0
2021-02-12,26.9,26.9,26.69,26.81,18568.0
2021-02-11,27.16,27.16,26.9,26.9,16675.0
2021-02-10,27.15,27.17,27.0,27.13,30005.0
2021-02-09,27.15,27.18,27.0584,27.17,15727.0
2021-02-08,27.23,27.23,27.07,27.09,12064.0
2021-02-05,27.11,27.17,27.0383,27.13,16193.0
2021-02-04,27.05,27.16,26.9412,27.11,16454.0
2021-02-03,27.25,27.25,26.98,27.0,12826.0
2021-02-02,27.25,27.285,27.16,27.18,26569.0
2021-02-01,27.28,27.41,27.08,27.22,24121.0
2021-01-29,27.14,27.32,26.95,27.25,41188.0
2021-01-28,27.18,27.28,27.04,27.14,14310.0
2021-01-27,27.4,27.44,27.03,27.03,12438.0
2021-01-26,27.34,27.52,27.25,27.33,10708.0
2021-01-25,27.38,27.38,27.21,27.34,18506.0
2021-01-22,27.25,27.35,27.18,27.3289,15353.0
2021-01-21,27.22,27.33,27.1476,27.19,14628.0
2021-01-20,27.6,27.6,27.16,27.18,45322.0
