date,1. open,2. high,3. low,4. close,5. volume
2021-03-15,52.4,52.4,51.74,52.1586,6554.0
2021-03-12,51.7911,52.055,51.65,51.87,2435.0
2021-03-11,50.6261,51.95,50.6261,51.89,40600.0
2021-03-10,50.53,50.99,49.98,50.19,13601.0
2021-03-09,50.68,50.68,49.59,49.77,8064.0
2021-03-08,49.51,49.59,49.35,49.59,3500.0
2021-03-05,48.0,48.4,47.38,48.37,5933.0
2021-03-04,48.01,48.01,47.71,47.71,17873.0
2021-03-03,48.94,50.77,47.57,47.95,130739.0
2021-03-02,50.5,50.67,49.75,49.75,3839.0
2021-03-01,50.5,51.35,50.5,51.19,4862.0
2021-02-26,49.1,50.89,49.1,50.37,14316.0
2021-02-25,49.11,49.1862,48.71,48.89,11566.0
2021-02-24,47.99,48.89,46.61,48.71,228642.0
2021-02-23,47.74,47.75,47.31,47.67,2625.0
2021-02-22,46.64,47.74,46.64,47.34,329345.0
2021-02-19,47.39,47.4,46.63,46.87,204847.0
2021-02-18,47.24,47.46,47.16,47.46,79519.0
2021-02-17,47.1,47.24,46.85,47.02,133744.0
2021-02-16,47.2,47.8899,47.2,47.58,69814.0
2021-02-12,46.555,47.04,45.89,46.87,63882.0
2021-02-11,46.65,46.77,45.955,46.58,81554.0
2021-02-10,46.51,46.7,46.21,46.7,59773.0
2021-02-09,46.07,46.93,46.07,46.85,2074.0
2021-02-08,46.24,46.32,46.24,46.32,19543.0
2021-02-05,46.15,47.11,45.85,45.85,21970.0
2021-02-04,46.24,46.67,46.21,46.21,3853.0
2021-02-03,46.65,46.65,45.89,46.51,3214.0
2021-02-02,47.95,48.05,46.96,47.72,48352.0
2021-02-01,46.6,47.3,46.6,47.29,303377.0
2021-01-29,46.43,46.43,45.88,46.17,35605.0
2021-01-28,47.51,47.68,46.48,46.48,10403.0
2021-01-27,47.48,48.35,46.97,46.97,16798.0
2021-01-26,47.26,47.82,47.0,47.82,153891.0
2021-01-25,47.53,47.53,46.82,47.33,36808.0
2021-01-22,48.31,48.31,48.31,48.31,499.0
2021-01-21,48.87,48.87,47.78,47.78,46496.0
2021-01-20,48.31,48.8,48.0,48.32,41250.0
2021-01-19,49.35,49.35,48.5,48.8,57503.0
2021-01-15,48.83,49.35,48.22,49.35,24624.0
2021-01-14,49.47,49.49,49.17,49.32,352249.0
2021-01-13,50.18,50.18,49.41,49.41,57328.0
2021-01-12,49.28,49.94,49.105,49.94,75297.0
2021-01-11,48.7489,49.2,48.73,49.0,3465.0
2021-01-08,49.07,49.07,49.07,49.07,189571.0
2021-01-07,48.82,49.045,48.82,49.04,1761.0
2021-01-06,48.4989,49.37,48.49,49.01,2763.0
2021-01-05,48.25,48.54,47.992,48.39,19993.0
2021-01-04,48.25,48.25,47.6343,48.07,2212.0
2020-12-31,48.04,48.84,47.54,48.84,62620.0
2020-12-30,47.79,48.16,47.735,47.745,4584.0
2020-12-29,48.4525,48.57,47.84,48.0,5561.0
2020-12-28,48.2,48.76,47.89,48.76,8823.0
2020-12-24,48.0,48.29,47.8,48.25,4443.0
2020-12-23,47.76,48.15,47.2,48.06,10090.0
2020-12-22,46.76,48.0,46.76,48.0,6233.0
2020-12-21,46.92,47.28,46.68,46.85,5980.0
2020-12-18,47.9497,47.9497,46.92,47.39,78068.0
2020-12-17,47.33,47.77,47.1302,47.7,4970.0
2020-12-16,47.42,47.4201,46.7,46.93,17628.0
2020-12-15,45.35,48.71,45.22,48.15,601123.0
2020-12-14,45.37,45.64,45.3088,45.38,20344.0
2020-12-11,45.64,45.64,44.7,45.36,4187.0
2020-12-10,45.58,45.8228,45.42,45.51,2536.0
2020-12-09,46.49,46.85,45.5757,45.6,5157.0
2020-12-08,46.27,46.85,46.27,46.6,7011.0
2020-12-07,46.41,46.41,46.06,46.27,24623.0
2020-12-04,46.1,46.15,45.7,45.8246,6155.0
2020-12-03,47.0,47.06,45.9,46.0,92304.0
2020-12-02,46.32,46.99,46.23,46.78,14190.0
2020-12-01,47.75,47.75,45.87,46.12,73343.0
2020-11-30,48.42,48.7,47.09,47.46,50631.0
2020-11-27,48.46,48.635,48.46,48.63,1393.0
2020-11-25,48.28,49.48,48.1,49.19,4441.0
2020-11-24,49.84,49.84,48.37,49.05,145749.0
2020-11-23,47.45,48.43,47.45,48.08,50612.0
2020-11-20,46.06,46.48,45.84,46.125,2369.0
2020-11-19,46.55,46.55,46.1,46.14,3006.0
2020-11-18,47.21,47.24,45.96,46.09,4173.0
2020-11-17,47.0,48.19,47.0,47.37,8238.0
2020-11-16,47.45,48.17,46.43,47.27,46088.0
2020-11-13,46.93,47.2,46.58,47.1,72029.0
2020-11-12,46.461,47.3,46.461,46.72,4358.0
2020-11-11,47.81,47.81,46.57,47.1,127656.0
2020-11-10,48.02,48.43,46.6645,48.43,4718.0
2020-11-09,46.65,48.43,46.65,48.33,7791.0
2020-11-06,46.84,49.39,43.84,46.47,85732.0
2020-11-05,49.98,50.01,49.55,50.01,94096.0
2020-11-04,48.62,49.1639,48.62,49.11,7214.0
2020-11-03,48.98,49.33,48.3962,48.3962,174940.0
2020-11-02,48.8,49.2487,48.7,49.05,13239.0
2020-10-30,48.88,48.88,47.88,48.37,23722.0
2020-10-29,47.7741,48.79,47.7741,48.79,3404.0
2020-10-28,48.3,48.9138,47.79,47.85,34627.0
2020-10-27,48.03,48.93,47.98,48.93,1794.0
2020-10-26,47.85,48.2478,47.85,48.055,1293.0
2020-10-23,48.5,48.92,48.5,48.92,1556.0
2020-10-22,48.07,48.4638,48.03,48.41,109545.0
2020-10-21,48.3178,49.05,47.31,47.38,48305.0
2020-10-20,48.34,48.7,48.32,48.58,2534.0
2020-10-19,48.0056,48.0056,47.76,47.99,8584.0
2020-10-16,49.72,49.72,49.12,49.12,214471.0
